14 
   0.112688    0.310886    0.310886    0.310886    0.067342
   0.112688    0.067342    0.310886    0.310886    0.310886
   0.112688    0.310886    0.067342    0.310886    0.310886
   0.112688    0.310886    0.310886    0.067342    0.310886
   0.073493    0.092735    0.092735    0.092735    0.721794
   0.073493    0.721794    0.092735    0.092735    0.092735
   0.073493    0.092735    0.721794    0.092735    0.092735
   0.073493    0.092735    0.092735    0.721794    0.092735
   0.042546    0.045504    0.454496    0.454496    0.045504
   0.042546    0.454496    0.045504    0.454496    0.045504
   0.042546    0.045504    0.045504    0.454496    0.454496
   0.042546    0.454496    0.454496    0.045504    0.045504
   0.042546    0.045504    0.454496    0.045504    0.454496
   0.042546    0.454496    0.045504    0.045504    0.454496
